factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
0.03674703 -0.03640562 0.516473 1.984726
0.10002 0.003412884 0.5002758 1.893988
0.06633 -0.02256967 0.5610706 1.863459
0.03451334 0.03719565 0.5292596 1.855627
0.05651395 -0.02563612 0.4994424 1.704788
0.05512656 -0.04471683 0.5533548 1.855586
0.03233365 0.002008567 0.556373 1.773519
0.04509487 -0.08027718 0.7613907 1.864497
0.009466198 -0.03574887 0.7521702 1.892625
0.02028898 -0.08273102 0.9233063 2.055129
-0.03757084 -0.03732568 0.8984139 1.913532
0.01638131 -0.05990079 0.8878658 1.753265
0.05443413 -0.03267963 0.8620233 1.531856
0.04769346 -0.04381213 0.9227344 1.525197
0.05416166 -0.09750874 0.8397028 1.517257
-0.005727006 -0.08452594 0.8537124 1.495253
0.01354926 -0.09659417 0.9147407 1.434638
0.06705916 -0.07065117 1.064244 1.665135
0.03476342 -0.03680119 0.9241056 1.577822
0.04718339 -0.05765717 0.924177 1.451326
0.01805218 -0.07138454 0.8772063 1.483398
0.06620838 -0.01633394 0.8941463 1.43923
0.06213529 -0.02613448 0.8719577 1.441118
0.02981812 -0.01168246 0.8031446 1.439055
0.06629152 0.0327029 0.8759509 1.307789
0.05657723 -0.08597171 0.8851155 1.213275
0.003885212 -0.02987701 0.8416485 1.243057
0.04757129 -0.05839034 0.8165458 1.281889
0.01532787 -0.04151643 0.9426667 1.235713
0.05633021 -0.1152677 0.9005063 1.235976
0.04325779 -0.0676286 0.8727481 1.039505
0.08282503 -0.01343523 0.7813071 0.9825261
0.08072364 -0.0523238 0.8127962 0.9370107
0.04159094 -0.0002134187 0.7795289 1.089215
0.0214876 -0.08491263 0.6953941 1.072012
-0.01443226 -0.06246216 0.6632432 1.124044
0.03524471 -0.0791387 0.6532279 1.277713
0.01571154 -0.02359607 0.7580844 1.154207
0.02006449 -0.128983 0.8156191 1.174739
0.0512001 -0.06581492 0.9565678 1.170741
0.05981749 -0.03479809 0.8433378 1.295012
0.01270229 -0.07859379 0.8130095 1.19272
