"","X","GID","P1","P2","TraitBLUE","Year","CV"
"63",38656,"SL18-NL-6-FG1xSA18-CB-7-MG2","SL18-NL-6-FG1","SA18-CB-7-MG2",0.124993451438409,2019,3
"64",38734,"SL18-NL-6-FG1xSL18-LD-1-MG2","SL18-NL-6-FG1","SL18-LD-1-MG2",-0.194397708892693,2019,9
"65",38739,"SL18-NL-6-FG1xSL18-LD-2-MG1","SL18-NL-6-FG1","SL18-LD-2-MG1",-0.135254665165109,2019,5
"66",38743,"SL18-NL-6-FG1xSL18-LD-3-MG2","SL18-NL-6-FG1","SL18-LD-3-MG2",-0.0989652167533212,2019,6
"67",38775,"SL18-NL-6-FG1xSL18-NL-2-MG1","SL18-NL-6-FG1","SL18-NL-2-MG1",-0.00755177320900398,2019,5
"68",38805,"SL18-NL-6-FG1xSL18-OI-11-MG2","SL18-NL-6-FG1","SL18-OI-11-MG2",-0.372691400220805,2019,5
"69",38809,"SL18-NL-6-FG1xSL18-OI-14-MG2","SL18-NL-6-FG1","SL18-OI-14-MG2",0.105602291107316,2019,10
"70",38810,"SL18-NL-6-FG1xSL18-OI-15-MG1","SL18-NL-6-FG1","SL18-OI-15-MG1",0.0818721118821904,2019,1
"71",38813,"SL18-NL-6-FG1xSL18-OI-16-MG1","SL18-NL-6-FG1","SL18-OI-16-MG1",0.0222001101874805,2019,3
"72",38847,"SL18-NL-6-FG1xSL18-SF-17-MG1","SL18-NL-6-FG1","SL18-SF-17-MG1",0.0922001101874773,2019,7
"73",38851,"SL18-NL-6-FG1xSL18-SF-19-MG2","SL18-NL-6-FG1","SL18-SF-19-MG2",-0.176963796970436,2019,8
"74",40030,"SL18-NL-9-FG2xSA18-CB-7-MG1","SL18-NL-9-FG2","SA18-CB-7-MG1",-0.148129123911236,2019,7
"75",40225,"SL18-NL-9-FG2xSL18-SF-19-MG1","SL18-NL-9-FG2","SL18-SF-19-MG1",-0.180565827382316,2019,8
"76",42413,"SL18-OI-11-FG1xSL18-SF-15-MG2","SL18-OI-11-FG1","SL18-SF-15-MG2",-0.186855275794104,2019,8
"77",42763,"SL18-OI-15-FG1xSA18-CB-2-MG3","SL18-OI-15-FG1","SA18-CB-2-MG3",-0.0318469011476302,2019,2
"78",42896,"SL18-OI-15-FG1xSL18-NL-5-MG1","SL18-OI-15-FG1","SL18-NL-5-MG1",-0.272114049518568,2019,4
"79",42961,"SL18-OI-15-FG1xSL18-SF-15-MG1","SL18-OI-15-FG1","SL18-SF-15-MG1",0.0478859504814308,2019,5
"80",44413,"SL18-OI-16-FG3xSA18-CB-4-MG3","SL18-OI-16-FG3","SA18-CB-4-MG3",-0.0855630358334922,2019,4
"81",44414,"SL18-OI-16-FG3xSA18-CB-5-MG3","SL18-OI-16-FG3","SA18-CB-5-MG3",-0.318127888117811,2019,4
"82",44503,"SL18-OI-16-FG3xSL18-LD-3-MG2","SL18-OI-16-FG3","SL18-LD-3-MG2",-0.134437302176349,2019,7
"83",44544,"SL18-OI-16-FG3xSL18-NL-6-MG1","SL18-OI-16-FG3","SL18-NL-6-MG1",-0.283279376459369,2019,5
"84",44608,"SL18-OI-16-FG3xSL18-SF-17-MG2","SL18-OI-16-FG3","SL18-SF-17-MG2",-0.0343977088926931,2019,6
"85",44877,"SL18-OI-17-FG1xSL18-SF-13-MG2","SL18-OI-17-FG1","SL18-SF-13-MG2",0.018107922471064,2019,7
"86",45156,"SL18-OI-17-FG2xSL18-SF-17-MG2","SL18-OI-17-FG2","SL18-SF-17-MG2",-0.334397708892693,2019,6
"87",45689,"SL18-OI-18-FG1xSL18-OI-9-MG3","SL18-OI-18-FG1","SL18-OI-9-MG3",-0.126963796970437,2019,7
"88",45785,"SL18-OI-18-FG2xSA18-CB-7-MG1","SL18-OI-18-FG2","SA18-CB-7-MG1",-0.00500654856159111,2019,3
"89",45866,"SL18-OI-18-FG2xSL18-LD-10-MG1","SL18-OI-18-FG2","SL18-LD-10-MG1",-0.198705238820045,2019,9
"90",45871,"SL18-OI-18-FG2xSL18-LD-2-MG3","SL18-OI-18-FG2","SL18-LD-2-MG3",-0.369568824871157,2019,2
"91",45876,"SL18-OI-18-FG2xSL18-LD-9-MG1","SL18-OI-18-FG2","SL18-LD-9-MG1",-0.298129123911238,2019,8
"92",45906,"SL18-OI-18-FG2xSL18-NL-2-MG2","SL18-OI-18-FG2","SL18-NL-2-MG2",-0.235014652878582,2019,10
"93",46152,"SL18-OI-18-FG3xSL18-LL-9-MG1","SL18-OI-18-FG3","SL18-LL-9-MG1",-0.272114049518569,2019,6
"94",46233,"SL18-OI-18-FG3xSL18-OI-7-MG1","SL18-OI-18-FG3","SL18-OI-7-MG1",-0.307541147672671,2019,2
"95",46331,"SL18-OI-18-FG5xSA18-CB-4-MG3","SL18-OI-18-FG5","SA18-CB-4-MG3",-0.280565827382318,2019,9
"96",46417,"SL18-OI-18-FG5xSL18-LD-2-MG1","SL18-OI-18-FG5","SL18-LD-2-MG1",-0.0987171001498059,2019,8
"97",46524,"SL18-OI-18-FG5xSL18-SF-15-MG2","SL18-OI-18-FG5","SL18-SF-15-MG2",-0.00929321505861161,2019,7
"98",46594,"SL18-OI-18-FG6xSA18-CB-1-MG2","SL18-OI-18-FG6","SA18-CB-1-MG2",0.0224482267909956,2019,4
"99",46736,"SL18-OI-18-FG6xSL18-NL-6-MG1","SL18-OI-18-FG6","SL18-NL-6-MG1",-0.353279376459371,2019,2
"100",46960,"SL18-OI-2-FG2xSL18-LD-1-MG2","SL18-OI-2-FG2","SL18-LD-1-MG2",-0.305254665165106,2019,4
"101",47289,"SL18-OI-2-FG3xSL18-NL-9-MG1","SL18-OI-2-FG3","SL18-NL-9-MG1",-0.369568824871157,2019,10
"102",47347,"SL18-OI-2-FG3xSL18-SF-17-MG1","SL18-OI-2-FG3","SL18-SF-17-MG1",-0.324975059594926,2019,9
"103",48241,"SL18-OI-6-FG1xSA18-CB-2-MG1","SL18-OI-6-FG1","SA18-CB-2-MG1",-0.259400500441518,2019,3
