"","X","GID","P1","P2","TraitBLUE","Year","CV"
"27",26182,"SL18-LD-2-FG2xSL18-NL-9-MG1","SL18-LD-2-FG2","SL18-NL-9-MG1",-0.338717100149805,2019,8
"28",26244,"SL18-LD-2-FG2xSL18-SF-19-MG1","SL18-LD-2-FG2","SL18-SF-19-MG1",-0.0175848991481681,2019,4
"29",27005,"SL18-LD-3-FG1xSL18-NL-9-MG1","SL18-LD-3-FG1","SL18-NL-9-MG1",-0.369977851143752,2019,9
"30",27067,"SL18-LD-3-FG1xSL18-SF-19-MG2","SL18-LD-3-FG1","SL18-SF-19-MG2",-0.278705238820044,2019,6
"31",27137,"SL18-LD-3-FG2xSA18-CB-2-MG3","SL18-LD-3-FG2","SA18-CB-2-MG3",-0.149400500441517,2019,8
"32",27239,"SL18-LD-3-FG2xSL18-LL-9-MG2","SL18-LD-3-FG2","SL18-LL-9-MG2",-0.258965216753322,2019,1
"33",27339,"SL18-LD-3-FG2xSL18-SF-17-MG3","SL18-LD-3-FG2","SL18-SF-17-MG3",-0.316855275794105,2019,6
"34",27683,"SL18-LD-4-FG1xSA18-CB-2-MG1","SL18-LD-4-FG1","SA18-CB-2-MG1",-0.285582663470398,2019,10
"35",27817,"SL18-LD-4-FG1xSL18-NL-3-MG2","SL18-LD-4-FG1","SL18-NL-3-MG2",-0.353279376459371,2019,9
"36",28060,"SL18-LD-4-FG2xSL18-LL-9-MG1","SL18-LD-4-FG2","SL18-LL-9-MG1",-0.294397708892693,2019,8
"37",28158,"SL18-LD-4-FG2xSL18-SF-15-MG2","SL18-LD-4-FG2","SL18-SF-15-MG2",-0.19185248424528,2019,10
"38",28433,"SL18-LD-4-FG3xSL18-SF-17-MG1","SL18-LD-4-FG3","SL18-SF-17-MG1",-0.235254665165109,2019,6
"39",28503,"SL18-LD-5-FG1xSA18-CB-10-MG1","SL18-LD-5-FG1","SA18-CB-10-MG1",-0.199400500441517,2019,9
"40",29526,"SL18-LD-9-FG2xSL18-SF-13-MG3","SL18-LD-9-FG2","SL18-SF-13-MG3",-0.295254665165108,2019,10
"41",29743,"SL18-LD-9-FG3xSL18-NL-7-MG1","SL18-LD-9-FG3","SL18-NL-7-MG1",-0.258717100149805,2019,5
"42",29803,"SL18-LD-9-FG3xSL18-SF-17-MG1","SL18-LD-9-FG3","SL18-SF-17-MG1",-0.163122575349644,2019,2
"43",30841,"SL18-LL-9-FG3xSL18-NL-9-MG1","SL18-LL-9-FG3","SL18-NL-9-MG1",-0.32443730217635,2019,10
"44",35637,"SL18-NL-10-FG1xSA18-CB-4-MG3","SL18-NL-10-FG1","SA18-CB-4-MG3",-0.21560262911715,2019,6
"45",35723,"SL18-NL-10-FG1xSL18-LD-2-MG1","SL18-NL-10-FG1","SL18-LD-2-MG1",-0.379568824871157,2019,4
"46",35794,"SL18-NL-10-FG1xSL18-OI-15-MG1","SL18-NL-10-FG1","SL18-OI-15-MG1",0.0555626978236508,2019,10
"47",35813,"SL18-NL-10-FG1xSL18-OI-7-MG1","SL18-NL-10-FG1","SL18-OI-7-MG1",-0.0768552757941048,2019,6
"48",35824,"SL18-NL-10-FG1xSL18-SF-13-MG1","SL18-NL-10-FG1","SL18-SF-13-MG1",-0.108377240514755,2019,3
"49",36311,"SL18-NL-10-FG3xSL18-NL-3-MG2","SL18-NL-10-FG3","SL18-NL-3-MG2",-0.292545224647411,2019,7
"50",36448,"SL18-NL-2-FG1xSA18-CB-1-MG2","SL18-NL-2-FG1","SA18-CB-1-MG2",-0.0955826634703978,2019,5
"51",36543,"SL18-NL-2-FG1xSL18-LD-13-MG2","SL18-NL-2-FG1","SL18-LD-13-MG2",-0.15371055158821,2019,8
"52",36653,"SL18-NL-2-FG1xSL18-SF-17-MG1","SL18-NL-2-FG1","SL18-SF-17-MG1",-0.085563035833494,2019,3
"53",37001,"SL18-NL-2-FG3xSA18-CB-2-MG3","SL18-NL-2-FG3","SA18-CB-2-MG3",-0.397541147672672,2019,3
"54",37006,"SL18-NL-2-FG3xSA18-CB-4-MG1","SL18-NL-2-FG3","SA18-CB-4-MG1",-0.27897494830573,2019,1
"55",37098,"SL18-NL-2-FG3xSL18-LD-3-MG2","SL18-NL-2-FG3","SL18-LD-3-MG2",-0.329977851143752,2019,10
"56",37168,"SL18-NL-2-FG3xSL18-OI-16-MG1","SL18-NL-2-FG3","SL18-OI-16-MG1",-0.145014652878583,2019,8
"57",37285,"SL18-NL-3-FG1xSA18-CB-7-MG2","SL18-NL-3-FG1","SA18-CB-7-MG2",-0.0754457648381993,2019,5
"58",37435,"SL18-NL-3-FG1xSL18-OI-11-MG2","SL18-NL-3-FG1","SL18-OI-11-MG2",-0.234975059594926,2019,5
"59",37473,"SL18-NL-3-FG1xSL18-SF-13-MG2","SL18-NL-3-FG1","SL18-SF-13-MG2",-0.238377240514755,2019,9
"60",37752,"SL18-NL-3-FG2xSL18-SF-17-MG2","SL18-NL-3-FG2","SL18-SF-17-MG2",-0.0226914002208027,2019,5
"61",37824,"SL18-NL-3-FG3xSA18-CB-2-MG2","SL18-NL-3-FG3","SA18-CB-2-MG2",-0.312691400220802,2019,8
"62",38650,"SL18-NL-6-FG1xSA18-CB-3-MG3","SL18-NL-6-FG1","SA18-CB-3-MG3",0.0181475157547198,2019,7
