factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
-0.003479161 -0.05406007 -1.413276 -1.52455
0.04026434 -0.1024637 -1.401131 -1.616183
0.06797933 -0.06547395 -1.488016 -1.71727
0.0334693 -0.04206106 -1.433342 -1.897211
0.003794906 -0.02502695 -1.477297 -1.946356
0.04599859 -0.02868767 -1.585416 -2.057895
0.02814796 -0.07182627 -1.631016 -1.966344
0.08337297 3.968388e-05 -1.752429 -2.194993
0.02787329 -0.04759723 -1.756513 -2.268495
0.05863967 -0.008858101 -1.616769 -2.331935
0.05697343 -0.009144187 -1.6001 -2.324109
0.05515252 -0.0220087 -1.546418 -2.400023
0.05448577 -0.09537791 -1.612756 -2.313628
0.0731104 -0.09116195 -1.584984 -2.265038
0.05252109 -0.05260358 -1.631092 -2.417398
0.05366473 -0.04752629 -1.616633 -2.323784
0.01281906 -0.02409117 -1.762316 -2.380744
0.07507857 -0.04329165 -1.716682 -2.227638
0.04901678 0.01276784 -1.758944 -2.201071
0.04294151 -0.03505531 -1.777077 -2.296091
0.05670631 -0.009367732 -1.8453 -2.288673
0.0458535 -0.06899928 -1.866861 -2.456479
0.02040152 -0.05259338 -2.008562 -2.525015
0.07531552 -0.05494218 -2.116373 -2.439107
0.07206908 -0.07516621 -1.997251 -2.489017
0.02354091 -0.06949784 -1.992339 -2.574597
0.06042253 -0.01700644 -1.953362 -2.522575
0.06049514 -0.03264532 -1.933421 -2.607788
0.05651215 -0.04916692 -1.977527 -2.625882
0.03470953 -0.003550762 -2.033445 -2.580033
0.0624767 -0.04019264 -2.133437 -2.429606
0.149513 -0.005558645 -2.248791 -2.377146
0.06818294 -0.03735216 -2.15906 -2.339955
0.03853206 -0.03871374 -2.19938 -2.391375
0.04231701 -0.05783654 -2.125669 -2.224299
0.01633858 -0.115104 -2.192627 -2.17263
0.0002065873 -0.02555185 -2.156114 -2.136506
0.03981193 -0.08094977 -2.147963 -2.161223
-0.00869423 -0.09681809 -2.115975 -1.96065
0.03451557 -0.07150439 -2.007454 -1.910501
0.06180218 -0.1248222 -2.09721 -1.889344
-0.01244621 -0.08598788 -2.00843 -1.804243
-0.003746566 -0.05868488 -2.033961 -1.751475
-0.02968303 -0.05886687 -2.178558 -1.607939
-0.01977354 -0.05670319 -2.15712 -1.578123
0.01779706 -0.05170428 -2.188011 -1.542959
0.02961569 0.0009020073 -2.185743 -1.446982
0.04875015 -0.08369268 -2.173421 -1.43735
0.06783785 -0.09417606 -2.087193 -1.454055
0.07697271 -0.07605051 -2.069488 -1.545623
0.005167386 -0.04314504 -2.000953 -1.632403
0.05193932 0.01253979 -2.000583 -1.624669
0.04548059 0.07326486 -2.013178 -1.534955
0.01633193 -0.04926837 -2.111921 -1.514661
0.06508233 -0.04019919 -2.06986 -1.48989
0.0442608 -0.06653664 -2.064214 -1.575805
0.05127812 -0.08116097 -2.117665 -1.660585
0.05656589 -0.06651976 -2.145627 -1.664467
0.06072112 -0.03755864 -2.071707 -1.787077
-0.009848261 -0.04702416 -2.110387 -1.955221
-0.02121267 -0.05288285 -2.120805 -2.042714
0.02403925 -0.05833642 -1.984293 -1.87405
-0.004446457 -0.06196194 -2.019141 -1.963503
0.04844679 -0.09238147 -1.994514 -1.9696
-0.01156054 -0.06389979 -1.929869 -1.915282
0.0416362 -0.07630315 -1.896988 -1.871957
0.0642589 -0.05242954 -1.828722 -1.953208
0.01807882 -0.0430837 -1.818961 -1.910224
0.07435724 -0.04235114 -1.840023 -2.016383
-0.0009925418 -0.05757117 -1.77907 -2.079632
0.02098109 -0.04331117 -1.739388 -2.155572
0.03368857 -0.04681676 -1.725798 -1.98797
0.02713268 -0.07972893 -1.612388 -1.87812
-0.02504905 -0.1036787 -1.892007 -1.81759
0.04424209 -0.003843727 -1.86938 -1.756056
0.05047347 -0.01455414 -1.95215 -1.821584
0.06925576 -0.05700985 -1.884597 -1.809675
0.0297888 -0.03387475 -1.924588 -2.015462
0.03372193 0.0009851432 -2.037163 -2.093519
0.03184551 -0.03568538 -2.073958 -2.131317
0.09174999 -0.09833743 -2.082085 -2.087696
0.02054681 -0.07628461 -2.094219 -2.078585
0.02649827 -0.05022624 -2.040242 -2.142583
0.05104028 -0.09626855 -1.903433 -2.07133
0.04290969 -0.0402314 -1.859666 -2.042019
0.0572686 -0.06602562 -1.765451 -1.984874
0.04779818 -0.04550667 -1.653861 -2.010703
0.0181094 -0.03874539 -1.640202 -1.96134
0.008587213 -0.05221583 -1.654826 -1.821753
-0.0102142 -0.1028588 -1.694192 -1.826172
0.04749459 -0.03841164 -1.779563 -1.917385
0.0141406 -0.07578938 -1.798897 -2.020338
0.01415359 -0.01054245 -1.780047 -2.236305
0.07923198 -0.03254902 -1.807438 -2.201295
0.08774525 -0.004132943 -1.754619 -2.155906
0.03391527 -0.04415073 -1.734169 -2.141384
0.06898184 -0.04492903 -1.772261 -1.958361
0.05219014 -0.06771352 -1.943998 -2.119006
0.1070479 0.01034145 -1.973733 -2.335553
0.03234636 -0.08552879 -1.910419 -2.444815
0.07087166 -0.05907881 -1.872549 -2.394438
0.03605557 -0.03630226 -1.738141 -2.280718
0.1231562 -0.01052277 -1.53009 -2.24329
0.01587025 -0.06816016 -1.460408 -2.345579
0.01475055 -0.05922419 -1.362373 -2.314539
0.0102558 -0.06586441 -1.494221 -2.242206
-0.05011048 -0.1325357 -1.477923 -2.422964
0.06401443 -0.02368017 -1.469364 -2.367066
0.04092841 -0.04554188 -1.413516 -2.383106
0.03384283 -0.04578094 -1.445994 -2.441259
-0.01364508 -0.05564322 -1.431407 -2.662972
0.02403263 -0.007655998 -1.317867 -2.460642
0.04893203 -0.05674034 -1.359593 -2.294683
0.08782891 -0.06174981 -1.520758 -2.027745
0.06369685 -0.006543079 -1.595331 -2.183275
0.03004636 -0.02125407 -1.655293 -2.045747
0.02991632 -0.07832414 -1.721502 -2.046565
0.01575301 -0.02859737 -1.83438 -2.128347
0.1066881 -0.02797439 -1.904479 -1.991362
0.07532146 -0.008024818 -1.719573 -2.025324
0.06410547 -0.08126781 -1.844337 -2.068218
-0.0209469 -0.007313285 -1.799026 -1.988623
0.1291725 -0.06625642 -1.772939 -1.930906
0.06371497 -0.006551178 -1.734067 -1.797934
0.06958675 -0.03288289 -1.861992 -1.608396
0.09773629 -0.07764608 -1.900815 -1.670353
0.03236304 -0.09002436 -1.861889 -1.67355
0.01848105 -0.0776802 -1.839121 -1.791903
0.0262494 -0.007301544 -1.816636 -1.762044
0.04389137 -0.05533541 -1.880456 -1.726774
0.04426601 -0.07415359 -1.844824 -1.688476
0.04806366 -0.03441204 -1.939093 -1.547009
0.06225516 -0.05647188 -2.015393 -1.533159
0.03467402 -0.02339334 -2.012864 -1.371694
0.1102696 -0.0006187108 -2.18264 -1.405967
0.03521464 -0.02761002 -2.198064 -1.405822
0.02253953 -0.01186967 -2.314928 -1.31425
0.06665205 -0.04448737 -2.327382 -1.500222
0.004894591 -0.0931174 -2.455804 -1.420562
0.04142364 0.007894583 -2.463116 -1.488703
-0.0008280023 -0.1375918 -2.561548 -1.374962
0.02718635 -0.07296774 -2.575415 -1.405024
-0.007298176 -0.009439373 -2.662322 -1.439406
0.002218382 -0.09416338 -2.615268 -1.301722
0.05542911 -0.07922834 -2.545257 -1.188048
0.04998414 -0.08962758 -2.602287 -1.144713
0.05581546 -0.04815165 -2.541459 -1.316967
-0.001476642 -0.09672165 -2.507287 -1.246348
-0.03079867 -0.0642871 -2.488934 -1.182225
0.03724859 -0.03923109 -2.397397 -1.04457
0.003571267 -0.0679783 -2.331801 -1.16942
0.03390549 -0.09492459 -2.18281 -1.096927
0.02642474 -0.02502819 -2.116122 -1.083494
0.06792469 -0.03924587 -2.130603 -1.06098
0.03696215 -0.06862601 -2.094425 -0.9437368
0.03037287 -0.07647086 -2.03291 -0.9907068
0.0549204 -0.05365997 -2.06147 -1.036978
0.05334642 -0.07807878 -2.029101 -1.17498
0.02731949 -0.002438734 -2.114525 -1.237972
0.05957599 -0.0664008 -2.134388 -1.237005
0.0009062307 -0.03451475 -2.237862 -1.172443
0.05311089 -0.02840931 -2.322413 -1.296991
0.02950794 -0.05760728 -2.351991 -1.120622
0.05681333 -0.03901611 -2.358354 -1.108021
0.02580894 -0.05716033 -2.321493 -1.059741
0.09198084 -0.03483372 -2.378456 -0.8804563
0.03034112 -0.07804173 -2.435648 -0.9170939
0.06508361 -0.01966004 -2.45153 -0.9585384
0.1047091 0.02708655 -2.439499 -0.9637696
0.04396307 -0.05552762 -2.440973 -0.7993431
0.04426961 -0.06003493 -2.450255 -0.7825065
0.01658004 -0.06554095 -2.495914 -0.6598005
0.02041181 -0.08315897 -2.572762 -0.5602631
0.08513968 -0.06714505 -2.635191 -0.5408524
0.04033473 -0.08648165 -2.699808 -0.7212213
0.0238912 0.001096619 -2.707315 -0.6052555
0.03922567 -0.09077404 -2.63194 -0.5765317
0.06451164 -0.004286614 -2.661191 -0.7426184
0.0477168 -0.09024719 -2.868515 -0.7585365
0.09277265 -0.003164967 -2.944816 -0.844928
0.07773334 0.004455755 -2.871847 -0.8719547
0.05214754 -0.07073592 -2.710679 -0.7288458
0.00831492 -0.1019717 -2.812594 -0.8384414
0.05680738 -0.1108569 -2.929247 -0.7220635
-0.007992477 -0.06519016 -2.78113 -0.6902416
0.01747158 -0.04185332 -2.894779 -0.887173
0.05145385 -0.01598762 -2.828377 -0.7818817
-0.01326765 -0.05517035 -2.861317 -0.7893169
0.03119868 -0.05087558 -2.938523 -0.7812914
0.09991474 -0.03926733 -2.910894 -0.6278275
0.01663568 -0.07126023 -3.159789 -0.6640873
0.03656871 -0.02386486 -3.317554 -0.7605461
0.06362275 -0.08330552 -3.274365 -0.6912093
0.09274249 -0.0267632 -3.278707 -0.7477146
0.05242199 -0.1037527 -3.297819 -0.7471868
-0.00586421 -0.07429987 -3.32967 -0.5061195
0.05991635 -0.03828878 -3.274176 -0.4946521
0.09835062 -0.01905892 -3.249642 -0.4536101
0.04423608 -0.02567589 -3.257601 -0.3743566
0.04934606 -0.09034384 -3.326231 -0.4534418
0.07868141 -0.025504 -3.316922 -0.3734316
0.05672081 -0.01569588 -3.190086 -0.2844875
0.07397386 -0.02408041 -3.289569 -0.3793093
0.07221837 -0.06173635 -3.36818 -0.1251045
0.05890051 -0.0808613 -3.356756 -0.2755618
0.03514547 -0.05847649 -3.334671 -0.2159752
0.09459885 0.08585979 -3.24144 -0.4108515
0.08791588 0.02968427 -3.304742 -0.5201709
0.05378597 -0.01664359 -3.50426 -0.5450585
0.04595241 -0.08583083 -3.754619 -0.3749371
0.06725354 -0.07663668 -3.842291 -0.4077921
0.05741009 0.07497579 -3.891207 -0.5832528
0.05556038 0.01340922 -3.709338 -0.5535158
0.05259425 -0.02031691 -3.789521 -0.6901402
0.05077002 -0.05345871 -3.791251 -0.6180541
0.05709241 -0.09716565 -3.740906 -0.539504
0.04435084 0.02030176 -3.74728 -0.6642553
0.04077689 -0.009771545 -3.611813 -0.4994374
0.04372818 -0.07137804 -3.487071 -0.5142157
0.0367721 -0.01188151 -3.401909 -0.5354423
-0.0003150038 -0.04306727 -3.39071 -0.4935925
0.03768387 -0.03153405 -3.44351 -0.5689412
0.05626616 -0.01008824 -3.366343 -0.704709
0.05545912 0.00910687 -3.296964 -0.5278312
0.1202852 -0.04076579 -3.39954 -0.3304684
0.0541152 -0.02014786 -3.43924 -0.3198805
0.04796347 -0.03726583 -3.233883 -0.3773427
0.04258794 -0.0210533 -3.161225 -0.4255533
0.03931628 0.01857383 -3.039758 -0.3719775
0.09051879 -0.02131581 -3.07364 -0.4439869
0.1071731 -0.03202917 -3.08061 -0.5372057
0.03711407 -0.05082346 -3.115431 -0.5423243
0.04511077 -0.06301606 -3.080564 -0.5934466
0.06555321 -0.03507237 -3.128583 -0.5372392
0.02826834 0.002706918 -3.148476 -0.5604296
0.04642013 -0.032141 -3.168276 -0.4480578
0.03508814 -0.05478662 -3.145733 -0.4138539
0.02263064 -0.07750066 -3.156654 -0.4783562
0.02153666 -0.003268358 -3.257254 -0.5871853
0.02036066 -0.04779626 -3.276639 -0.5857921
0.05230732 -0.02491846 -3.272614 -0.4784083
0.03910274 -0.07688599 -3.357762 -0.5389904
0.1066005 0.003023718 -3.362661 -0.4148453
0.04931277 -0.040521 -3.393962 -0.6856557
0.08541978 -0.08043896 -3.401231 -0.5688002
0.06719054 -0.04811064 -3.409868 -0.5209674
0.00293634 -0.08557554 -3.395546 -0.484066
0.001152489 -0.08002403 -3.369092 -0.5389505
0.02921166 -0.1101985 -3.343722 -0.5201183
0.03379083 -0.05680078 -3.370512 -0.417632
0.0215347 -0.09373352 -3.433276 -0.3655529
-0.01887785 -0.1670964 -3.557058 -0.4751701
0.02393806 -0.03869779 -3.658925 -0.5840063
0.03046913 -0.03260124 -3.607252 -0.6026871
0.04295751 -0.05717229 -3.536319 -0.5827641
0.03621873 -0.07297209 -3.676834 -0.5514215
0.04325929 -0.009686678 -3.718144 -0.6145494
0.05527535 -0.08418596 -3.681392 -0.5746968
0.03418588 -0.009578596 -3.568333 -0.6218637
0.02413307 -0.03376235 -3.681838 -0.7003781
0.07895048 -0.01617551 -3.621955 -0.5777419
0.007908595 -0.09281555 -3.463073 -0.5598513
0.05644894 -0.00756862 -3.392266 -0.5877777
0.05132392 -0.1061735 -3.364778 -0.789495
-0.03194711 -0.0843041 -3.241927 -0.6378806
0.107213 -0.02780684 -3.069255 -0.6464717
0.01678274 -0.0629696 -3.119236 -0.8011567
0.004122182 -0.0896823 -3.062406 -0.9702055
0.02220756 -0.08806828 -3.126259 -1.241083
0.05313715 -0.03212412 -3.162415 -1.244896
