"Env","EID","GID","kwt","d2b","GY","PH","M"
"dhule",1,"B130 x R115",9.302733258,55.77375876,1939.294292,191.1755637,"H"
"dhule",1,"B130 x R151",7.429036999,53.79693778,1802.126725,178.2000787,"H"
"dhule",1,"B130 x R157",9.757230881,55.72319472,2470.828781,193.1294657,"H"
"dhule",1,"B130 x R167",7.951985679,59.44476492,2235.882352,194.8205748,"H"
"dhule",1,"B130 x R171",8.044725293,56.27365994,2323.291065,177.3182924,"H"
"dhule",1,"B130 x R177",8.872776787,56.09568086,2057.979624,199.3160197,"H"
"dhule",1,"B130 x R183",9.349863951,57.82101787,1906.919519,185.1247766,"H"
"dhule",1,"B130 x R187",8.81866117,56.45270207,1916.456611,187.2015844,"H"
"dhule",1,"B130 x R2",9.763771687,57.39280117,2125.831722,186.8344449,"H"
"dhule",1,"B130 x R21",8.142845591,55.82486074,2387.68293,162.9131729,"H"
"dhule",1,"B130 x R22",8.948922025,55.25179308,2353.135142,197.0638696,"H"
"dhule",1,"B130 x R3",9.904596104,58.11501576,1896.038292,169.0737985,"H"
"dhule",1,"B130 x R69",9.211328232,55.2071553,2036.481217,192.6205028,"H"
"dhule",1,"B130 x R70",9.51207952,58.64938396,1873.297809,188.2332895,"H"
"dhule",1,"B130 x R75",9.922295223,55.49015358,2252.912094,175.7422156,"H"
"dhule",1,"B130 x R80",7.32654501,57.49207562,1783.904899,186.2563177,"H"
"dhule",1,"B130 x R83",9.062195918,56.13936858,2224.278177,192.0279256,"H"
"dhule",1,"B130 x R9",8.898911493,54.05638012,1846.011332,184.9602088,"H"
"dhule",1,"B159 x R11",9.859318904,49.81898789,2195.538951,173.909686,"H"
"dhule",1,"B159 x R110",8.988258123,58.53424175,2082.838807,167.8116728,"H"
"dhule",1,"B159 x R115",9.347569617,53.59758374,2653.684061,195.1117254,"H"
"dhule",1,"B159 x R151",9.122333854,55.62047929,1753.628674,181.4927815,"H"
"dhule",1,"B159 x R157",10.21684351,55.75878967,1778.132563,187.2068141,"H"
"dhule",1,"B159 x R167",8.921540728,58.68064362,2250.154376,205.7659408,"H"
"dhule",1,"B159 x R171",9.054498946,55.07960771,2206.783872,192.7546779,"H"
"dhule",1,"B159 x R177",9.240883577,53.11255106,2780.312918,177.2373839,"H"
"dhule",1,"B159 x R183",9.470522115,53.56538275,2185.085046,178.8366082,"H"
"dhule",1,"B159 x R187",9.490958513,54.13380179,1701.818152,203.9223307,"H"
"dhule",1,"B159 x R2",8.007650706,58.12215407,1879.65528,194.8176335,"H"
"dhule",1,"B159 x R21",8.886219459,55.71825168,1808.537384,182.6741241,"H"
"dhule",1,"B159 x R22",9.831523833,54.44659983,2955.095915,189.3203252,"H"
"dhule",1,"B159 x R3",7.671103349,55.48631759,2638.860631,180.4613771,"H"
"dhule",1,"B159 x R69",10.00975522,57.6837005,1971.686491,170.9601749,"H"
"dhule",1,"B159 x R70",9.050773711,56.63992989,2495.502816,186.4076347,"H"
"dhule",1,"B159 x R75",10.25206904,54.53742265,2508.061205,190.6459745,"H"
"dhule",1,"B159 x R80",9.09703627,57.59145991,1856.51693,193.4427694,"H"
"dhule",1,"B159 x R83",9.701760681,52.59145584,3935.634568,191.6244461,"H"
"dhule",1,"B159 x R9",9.736797177,51.59183972,2101.367227,183.0748837,"H"
"dhule",1,"B169 x R11",8.600350971,51.2173662,2078.305112,170.4030146,"H"
"dhule",1,"B169 x R110",9.111317791,53.66675478,2162.073281,188.5141374,"H"
"dhule",1,"B169 x R115",10.49234439,55.85235589,2404.79943,182.0992618,"H"
"dhule",1,"B169 x R151",9.425844302,52.46458253,1894.076776,171.4962707,"H"
"dhule",1,"B169 x R157",9.377291899,54.648162,1871.434059,184.0684258,"H"
"dhule",1,"B169 x R171",9.680849195,55.08357294,2653.342393,182.5896815,"H"
"dhule",1,"B169 x R177",8.77591981,51.6864444,2264.749066,178.5602454,"H"
"dhule",1,"B169 x R183",9.738309611,51.57512816,2078.048308,171.9250152,"H"
"dhule",1,"B169 x R187",10.18934244,54.51499123,2178.699435,183.3750405,"H"
"dhule",1,"B169 x R2",9.576901631,57.97411542,2311.377294,188.8207971,"H"
"dhule",1,"B169 x R21",8.739949442,53.96240603,2263.449169,185.397685,"H"
"dhule",1,"B169 x R3",7.897966715,57.44279797,2188.930632,180.0625384,"H"
"dhule",1,"B169 x R69",8.797580699,58.22658825,2071.803125,190.6350075,"H"
"dhule",1,"B169 x R70",9.677704165,56.31245125,2007.170745,193.2902602,"H"
"dhule",1,"B169 x R83",7.95329495,59.27651208,2163.312172,188.9488715,"H"
"dhule",1,"B169 x R9",9.549684359,52.55235965,2414.438948,185.2750334,"H"
"dhule",1,"B191 x R110",9.650205856,54.29339516,2167.064337,188.3983437,"H"
"dhule",1,"B191 x R115",7.732976008,58.2312893,2604.44114,171.3452323,"H"
"dhule",1,"B191 x R151",10.23671199,55.46411184,2139.564802,188.5757766,"H"
"dhule",1,"B191 x R167",10.9146907,58.03408517,2663.898342,197.1888456,"H"
"dhule",1,"B191 x R171",9.494444578,59.0155007,2206.569091,197.8556984,"H"
"dhule",1,"B191 x R183",10.03758384,56.16665463,1821.111016,190.5508759,"H"
"dhule",1,"B191 x R2",9.956282537,59.74640678,1219.246761,183.5250995,"H"
"dhule",1,"B191 x R21",8.095053815,55.19747159,1350.539978,169.3018148,"H"
"dhule",1,"B191 x R22",7.975102472,56.51704363,3353.482723,183.6057918,"H"
"dhule",1,"B191 x R3",8.277832327,57.84418539,1342.405434,145.8587282,"H"
"dhule",1,"B191 x R69",10.6225138,57.07243606,2760.884128,192.5928441,"H"
"dhule",1,"B191 x R70",10.26368119,55.29103606,2517.562588,199.9143735,"H"
"dhule",1,"B191 x R75",9.546396545,57.34304049,2041.51588,148.8912943,"H"
"dhule",1,"B191 x R80",9.364852101,55.60842508,2770.982298,192.0659615,"H"
"dhule",1,"B191 x R9",10.04773886,54.51828203,2638.143562,187.9552268,"H"
"dhule",1,"B24 x R11",8.769101274,51.03026375,2144.743505,143.8792251,"H"
"dhule",1,"B24 x R110",9.538464848,51.36901055,2142.224872,171.435632,"H"
"dhule",1,"B24 x R115",9.003315909,50.75027588,2019.84058,180.5899769,"H"
"dhule",1,"B24 x R151",10.46276697,52.17316066,2232.571756,157.6683871,"H"
"dhule",1,"B24 x R157",9.803461901,50.12144518,2326.272649,177.9887052,"H"
"dhule",1,"B24 x R167",10.20186574,52.8355482,2671.757342,180.4350705,"H"
"dhule",1,"B24 x R171",10.2865485,50.3141388,3123.355073,198.1362287,"H"
"dhule",1,"B24 x R177",9.570792306,51.90368164,2145.096208,167.827242,"H"
"dhule",1,"B24 x R183",9.730215257,51.27431463,2136.239264,156.009311,"H"
"dhule",1,"B24 x R187",10.33251376,50.62076071,2531.425381,172.2348313,"H"
"dhule",1,"B24 x R2",8.363859559,52.18114452,1953.634945,185.4486371,"H"
"dhule",1,"B24 x R21",8.410858904,51.06158823,1529.12451,158.0925454,"H"
"dhule",1,"B24 x R22",8.76202187,53.89163579,2198.103848,185.524583,"H"
"dhule",1,"B24 x R3",10.02288081,51.60936595,2366.665822,153.7052359,"H"
"dhule",1,"B24 x R69",8.966582673,51.95119174,2365.630482,181.9748249,"H"
"dhule",1,"B24 x R70",8.683630266,53.04032559,2334.994125,177.2447934,"H"
"dhule",1,"B24 x R75",10.95098863,51.88012864,2337.318803,149.3885173,"H"
"dhule",1,"B24 x R80",8.682406067,53.67701674,2114.668072,175.1246356,"H"
"dhule",1,"B24 x R83",8.746847077,53.29466661,1650.950833,164.3109968,"H"
"dhule",1,"B24 x R9",9.375302631,49.61092951,2087.641736,171.3101407,"H"
"dhule",1,"B37 x R115",7.749317052,55.97355355,1793.096579,172.2261426,"H"
"dhule",1,"B37 x R167",9.709302401,55.37293502,3076.582051,202.0784559,"H"
"dhule",1,"B37 x R171",8.708498372,55.70462984,2693.795923,215.0857034,"H"
"dhule",1,"B37 x R177",8.885548021,55.52626917,2575.081367,197.5706597,"H"
"dhule",1,"B37 x R183",8.249929007,54.65495417,2473.33381,177.5020796,"H"
"dhule",1,"B37 x R187",8.318336674,53.05690206,2253.701678,190.8086232,"H"
"dhule",1,"B37 x R2",9.014618716,56.53459381,2466.846743,198.8414135,"H"
"dhule",1,"B37 x R21",8.912336574,55.2537288,1671.512018,171.829028,"H"
"dhule",1,"B37 x R22",8.080523486,58.29555859,1536.603483,191.1411708,"H"
"dhule",1,"B37 x R3",7.725362478,53.45689292,1733.810313,172.9074434,"H"
"dhule",1,"B37 x R69",9.591290413,54.46223069,2305.028005,205.7383871,"H"
"dhule",1,"B37 x R70",9.098488442,54.59999139,2240.343785,200.7398653,"H"
"dhule",1,"B37 x R83",7.627606895,56.99499812,2488.989491,194.8869558,"H"
"dhule",1,"B37 x R9",7.976317626,54.81536643,1898.646753,189.2417676,"H"
"dhule",1,"B3 x R11",8.0453272,52.2675848,2010.3743,172.3205518,"H"
"dhule",1,"B3 x R110",8.627622771,52.06424939,2071.526371,187.6479436,"H"
"dhule",1,"B3 x R115",8.590921565,53.8406056,2087.940805,189.9869825,"H"
"dhule",1,"B3 x R151",9.689891327,50.73093328,2585.613575,185.2207563,"H"
"dhule",1,"B3 x R157",9.521008864,53.29331657,1805.354623,194.9452005,"H"
"dhule",1,"B3 x R167",9.455095237,54.75990612,2415.650916,198.7931879,"H"
"dhule",1,"B3 x R171",11.10179691,53.69551684,1709.688591,194.9527967,"H"
"dhule",1,"B3 x R177",9.21107629,52.95726405,1641.370407,180.7367438,"H"
"dhule",1,"B3 x R183",9.538690344,51.85723407,2405.38645,170.0581763,"H"
"dhule",1,"B3 x R187",8.501316524,53.52870294,2359.944768,189.4567071,"H"
"dhule",1,"B3 x R2",7.429593101,56.46090419,3013.230276,184.4742957,"H"
"dhule",1,"B3 x R21",7.712630085,54.02946968,1714.713167,159.1556762,"H"
"dhule",1,"B3 x R22",8.780569723,53.57333696,1914.299786,189.3762456,"H"
"dhule",1,"B3 x R3",8.408190981,54.74157981,1511.783285,164.2066613,"H"
"dhule",1,"B3 x R69",10.24444535,52.66684509,2668.282302,199.4971429,"H"
"dhule",1,"B3 x R70",8.514826779,53.325078,2003.923818,186.1874808,"H"
"dhule",1,"B3 x R75",9.155694759,53.63603889,2248.711261,165.9807966,"H"
"dhule",1,"B3 x R80",9.686867327,54.92281632,1871.038011,191.2615915,"H"
"dhule",1,"B3 x R83",8.90817434,52.62998483,2276.050981,185.413272,"H"
"dhule",1,"B3 x R9",7.982846129,53.47067717,2163.343397,177.9002197,"H"
"dhule",1,"B64 x R11",9.508542368,51.78443714,2259.322902,165.0466239,"H"
"dhule",1,"B64 x R110",10.35819378,52.34074878,2475.531117,176.6494413,"H"
"dhule",1,"B64 x R115",10.50740288,52.56755263,2419.513789,186.2735946,"H"
"dhule",1,"B64 x R151",11.53661938,51.17134668,2263.732311,169.3953458,"H"
"dhule",1,"B64 x R157",9.394231573,51.2103939,2487.272639,190.9257017,"H"
"dhule",1,"B64 x R167",9.78029505,55.56640333,2152.600353,185.9527214,"H"
"dhule",1,"B64 x R171",9.84682529,53.52183155,1906.084632,197.0720431,"H"
"dhule",1,"B64 x R177",9.172634553,51.19296303,2003.974293,172.3608803,"H"
"dhule",1,"B64 x R183",9.579195717,51.14677243,1841.91713,174.4811387,"H"
"dhule",1,"B64 x R187",9.428306593,53.16202445,1820.851621,178.9450511,"H"
"dhule",1,"B64 x R2",9.850559503,52.86832227,2551.725621,187.5158632,"H"
"dhule",1,"B64 x R21",8.96889141,53.82338077,1796.834918,191.8227198,"H"
"dhule",1,"B64 x R22",10.16274774,53.68171708,2210.056839,178.2739793,"H"
"dhule",1,"B64 x R3",8.630625719,53.30429257,2326.663426,187.4412035,"H"
"dhule",1,"B64 x R69",9.827526931,53.05536114,2027.546986,184.0848274,"H"
"dhule",1,"B64 x R70",9.430864818,53.24978115,1919.718493,191.9110957,"H"
"dhule",1,"B64 x R75",9.568904892,51.9521653,2419.080539,186.8505883,"H"
"dhule",1,"B64 x R80",9.014789944,54.79393704,2852.027434,185.6199032,"H"
"dhule",1,"B64 x R83",10.02358732,52.99476825,2593.724923,184.7040019,"H"
"dhule",1,"B64 x R9",7.906887574,49.96458041,2399.011616,173.3235296,"H"
"dhule",1,"B65 x R11",9.716177274,49.86140153,1950.583278,156.9212425,"H"
"dhule",1,"B65 x R110",10.10113229,51.50158198,2045.894403,168.1796813,"H"
"dhule",1,"B65 x R115",10.82083118,50.45500793,1914.349932,173.1335816,"H"
"dhule",1,"B65 x R151",10.3311627,52.61943041,3185.498068,155.0140237,"H"
"dhule",1,"B65 x R157",9.620012143,49.20045076,2277.416504,186.3715885,"H"
"dhule",1,"B65 x R167",10.66943811,54.28934924,2419.619631,194.0146309,"H"
"dhule",1,"B65 x R171",10.27943429,54.11464902,2483.19932,183.0397004,"H"
"dhule",1,"B65 x R177",8.441036173,52.723482,2007.910954,177.3997741,"H"
"dhule",1,"B65 x R183",8.654442319,51.56879495,2273.863577,160.9124779,"H"
"dhule",1,"B65 x R187",9.04945913,52.19442997,1807.222561,169.7675894,"H"
"dhule",1,"B65 x R2",11.88621698,53.10248794,2278.135773,179.9303073,"H"
"dhule",1,"B65 x R21",8.531787791,51.6456467,2102.509396,173.9532469,"H"
"dhule",1,"B65 x R22",10.32448514,52.42427898,2226.432916,172.9686084,"H"
"dhule",1,"B65 x R3",10.31293728,51.57729471,2496.701472,180.3396818,"H"
"dhule",1,"B65 x R69",11.18670331,51.51042417,2421.900173,186.964741,"H"
"dhule",1,"B65 x R70",10.60406007,53.43933106,1947.301898,173.3352123,"H"
"dhule",1,"B65 x R75",10.41912926,51.24270823,2061.017313,166.9652428,"H"
"dhule",1,"B65 x R80",7.05891151,55.38929784,2261.040905,190.9409718,"H"
"dhule",1,"B65 x R83",9.71207214,52.06885224,1834.279922,180.9738485,"H"
"dhule",1,"B65 x R9",8.449419638,51.96249029,1443.657471,160.9694383,"H"
"dhule",1,"B86 x R11",10.03749509,52.27209686,1594.623125,177.2986419,"H"
"dhule",1,"B86 x R110",10.2890359,53.76583527,2468.407122,196.4087188,"H"
"dhule",1,"B86 x R115",10.81387639,57.01291348,3382.7106,196.3842395,"H"
"dhule",1,"B86 x R151",9.500220259,58.21995003,2129.296902,186.1658532,"H"
"dhule",1,"B86 x R157",9.306367743,55.89077293,1942.312331,189.8515394,"H"
"dhule",1,"B86 x R171",10.47614872,54.36159159,2448.684655,201.7597146,"H"
"dhule",1,"B86 x R177",9.532304685,53.78064756,2521.43713,185.2748199,"H"
"dhule",1,"B86 x R2",9.855390044,55.4464611,2622.131339,217.0694287,"H"
"dhule",1,"B86 x R21",9.636442318,54.24848393,1801.110645,164.2903808,"H"
"dhule",1,"B86 x R22",10.27267404,54.66478138,2646.300599,204.6139613,"H"
"dhule",1,"B86 x R3",9.396281733,59.26417815,1687.750945,151.0831166,"H"
"dhule",1,"B86 x R70",9.615969303,56.16096533,2334.290828,199.5360944,"H"
"dhule",1,"B86 x R75",9.053511963,54.65984026,2036.246075,166.6060811,"H"
"dhule",1,"B86 x R80",10.16696972,58.44026348,1706.382506,204.904896,"H"
"dhule",1,"B86 x R83",9.515983342,55.91498374,2144.875493,191.3103877,"H"
"dhule",1,"B86 x R9",9.531637912,52.68205195,1871.522627,183.8211105,"H"
"dhule",1,"B96 x R11",9.099025116,50.96056916,2353.947578,182.2346056,"H"
"dhule",1,"B96 x R110",10.91325771,53.76207526,3049.451493,194.2931474,"H"
"dhule",1,"B96 x R115",8.494703419,54.69925283,2086.094211,185.6963714,"H"
"dhule",1,"B96 x R151",11.56129072,54.84691555,2370.316551,188.1866782,"H"
"dhule",1,"B96 x R157",9.154808114,54.63957158,2069.963635,190.4377838,"H"
"dhule",1,"B96 x R167",8.992082794,58.26934628,2295.91581,195.0630973,"H"
"dhule",1,"B96 x R171",9.171704,57.16520173,2009.828533,192.7923644,"H"
"dhule",1,"B96 x R177",11.09066659,54.13861937,2244.524737,191.2346018,"H"
"dhule",1,"B96 x R183",9.448217717,53.50203791,2208.944417,181.8594039,"H"
"dhule",1,"B96 x R187",9.357016315,53.77788374,2078.73424,203.9010948,"H"
"dhule",1,"B96 x R2",9.999391648,56.4033501,2574.337189,192.8168917,"H"
"dhule",1,"B96 x R21",8.824443891,54.30398388,1343.543913,166.391801,"H"
"dhule",1,"B96 x R22",9.684477232,61.06297462,2387.523978,205.4598045,"H"
"dhule",1,"B96 x R3",8.705496682,57.12942146,1562.574376,142.3082564,"H"
"dhule",1,"B96 x R69",8.329310812,57.68631325,1750.604369,187.1702547,"H"
"dhule",1,"B96 x R70",9.499122488,56.35490866,2555.667963,197.5625924,"H"
"dhule",1,"B96 x R75",8.477799087,57.05232554,1992.006547,155.86982,"H"
"dhule",1,"B96 x R80",10.27502441,56.03518366,2092.471764,198.0708908,"H"
"dhule",1,"B96 x R83",9.428570766,55.29839788,1832.863268,187.7387613,"H"
"dhule",1,"B96 x R9",10.1446115,52.79597669,2505.030301,185.314755,"H"
"hisar",2,"B108 x R11",8.256800713,54.13740047,2486.308987,198.9882642,"H"
"hisar",2,"B108 x R110",9.728248658,56.33119355,2005.600126,202.375328,"H"
"hisar",2,"B108 x R115",9.520160459,54.59583048,2331.168984,205.8833233,"H"
"hisar",2,"B108 x R151",10.10238643,52.91238555,2923.203949,197.484304,"H"
"hisar",2,"B108 x R157",9.531735841,53.17223834,2416.4304,219.5353663,"H"
"hisar",2,"B108 x R167",10.52192591,56.47110894,4597.12015,218.1081958,"H"
"hisar",2,"B108 x R171",9.578626896,56.8030897,1950.940336,197.5163219,"H"
"hisar",2,"B108 x R177",9.365313789,54.67088651,3515.038499,210.691249,"H"
"hisar",2,"B108 x R183",9.923202724,52.94394134,2289.191115,204.1506945,"H"
"hisar",2,"B108 x R187",9.199611908,58.67639596,2061.210166,216.1752905,"H"
"hisar",2,"B108 x R2",8.380146071,55.07235917,3553.118506,206.1904907,"H"
"hisar",2,"B108 x R21",6.939848475,58.54501049,1677.154782,166.6877284,"H"
"hisar",2,"B108 x R3",9.837400904,53.33751666,3401.287143,162.6756337,"H"
"hisar",2,"B108 x R69",9.060973471,57.84140964,3159.346094,218.9161587,"H"
"hisar",2,"B108 x R70",7.434302907,55.19821875,1950.565916,192.1296098,"H"
"hisar",2,"B108 x R75",9.47068631,55.6364545,2772.747231,171.5096777,"H"
"hisar",2,"B108 x R80",10.71611965,54.5387592,2474.296522,201.1093308,"H"
"hisar",2,"B108 x R9",12.1271178,54.0729233,1780.584851,211.1761638,"H"
"hisar",2,"B110 x R11",8.436553949,52.52109374,2389.632724,211.2401433,"H"
"hisar",2,"B110 x R110",11.97450702,58.46658715,3784.353205,208.1819391,"H"
"hisar",2,"B110 x R115",11.1616603,60.99677781,2690.363857,229.7622408,"H"
"hisar",2,"B110 x R151",12.58153976,57.5854856,3323.930453,194.4118974,"H"
"hisar",2,"B110 x R157",10.40948638,57.1459328,3171.797984,235.5501128,"H"
"hisar",2,"B110 x R167",8.649720348,53.65256915,3458.571611,229.8311135,"H"
"hisar",2,"B110 x R171",10.48732864,57.46159649,3554.691175,222.0403384,"H"
"hisar",2,"B110 x R177",9.578793444,55.66502344,2392.950046,196.8580124,"H"
"hisar",2,"B110 x R2",10.13810816,58.42263796,4527.10448,223.9964955,"H"
"hisar",2,"B110 x R21",9.924954815,57.24649154,3977.283012,180.6940001,"H"
"hisar",2,"B110 x R22",10.97329163,61.19656449,3440.350435,219.2182759,"H"
"hisar",2,"B110 x R3",10.63278664,60.0205183,2200.472308,163.3752729,"H"
"hisar",2,"B110 x R69",10.53812776,58.68276347,3266.952006,208.9955038,"H"
"hisar",2,"B110 x R70",11.65801081,60.31521877,3981.569819,226.5280833,"H"
"hisar",2,"B110 x R80",13.04123348,60.77673694,2016.247615,218.7613664,"H"
"hisar",2,"B110 x R83",8.503473421,56.37787514,2796.240143,191.7686625,"H"
"hisar",2,"B110 x R9",10.32580053,57.17838648,3059.668692,241.2534047,"H"
"hisar",2,"B130 x R11",9.218504397,54.26109573,2606.048561,185.4880128,"H"
"hisar",2,"B130 x R110",10.09514779,53.58739894,2461.56715,197.1752188,"H"
"hisar",2,"B130 x R115",8.571406313,57.67389395,2524.297844,184.7489191,"H"
"hisar",2,"B130 x R151",10.70264973,56.43952843,2891.765782,207.6979884,"H"
"hisar",2,"B130 x R157",9.616165904,54.46740526,2107.800257,183.1473507,"H"
"hisar",2,"B130 x R167",11.54130962,56.44676511,3663.63756,212.2984398,"H"
"hisar",2,"B130 x R171",9.431282224,55.43977998,2469.850126,203.0521326,"H"
"hisar",2,"B130 x R177",8.644534842,56.99963597,3057.103217,196.0569536,"H"
"hisar",2,"B130 x R183",8.694764958,54.38537208,2239.417208,207.8456804,"H"
"hisar",2,"B130 x R187",8.659859518,55.05949757,1708.452246,197.3390576,"H"
"hisar",2,"B130 x R2",9.243785421,58.55144421,2146.29033,197.8545395,"H"
"hisar",2,"B130 x R21",7.038569548,58.86042516,1118.391773,155.0877724,"H"
"hisar",2,"B130 x R22",10.66782074,53.26310092,3107.186919,192.0275208,"H"
"hisar",2,"B130 x R3",9.239265218,58.54968696,2076.195766,163.3094681,"H"
"hisar",2,"B130 x R69",10.23633798,57.70917276,2948.260281,191.1158765,"H"
"hisar",2,"B130 x R70",9.156116267,58.97289441,1866.303992,213.282635,"H"
"hisar",2,"B130 x R75",9.285414532,59.08476864,4217.161463,193.1663634,"H"
"hisar",2,"B130 x R80",7.597134619,58.64196325,1649.383944,192.4698728,"H"
"hisar",2,"B130 x R83",8.853570229,58.36281275,2121.231851,180.9693669,"H"
"hisar",2,"B130 x R9",9.803077451,52.17839113,3357.20142,201.3194493,"H"
"hisar",2,"B159 x R11",8.582390326,49.2486326,2830.876696,202.715548,"H"
"hisar",2,"B159 x R110",11.26413948,53.7236406,2494.513112,182.2703029,"H"
"hisar",2,"B159 x R115",10.14308502,55.23943959,3896.751738,180.7898654,"H"
"hisar",2,"B159 x R151",10.55569305,55.11687642,2978.599628,186.4249833,"H"
"hisar",2,"B159 x R157",11.60788535,53.55040297,3016.746635,179.4587036,"H"
"hisar",2,"B159 x R167",10.28485256,59.28417539,3629.367436,189.7060984,"H"
"hisar",2,"B159 x R171",11.84889409,54.86321979,3717.177323,218.7439312,"H"
"hisar",2,"B159 x R177",9.522848548,52.80664737,3738.545303,197.1615852,"H"
"hisar",2,"B159 x R183",8.136660362,52.36587624,2849.029923,175.3460644,"H"
"hisar",2,"B159 x R187",12.06507478,55.06079544,3292.271939,177.5758163,"H"
"hisar",2,"B159 x R2",9.297149775,55.39702799,2676.446978,193.9850505,"H"
"hisar",2,"B159 x R21",9.093385782,51.44939599,3658.628345,185.2685949,"H"
"hisar",2,"B159 x R22",9.205200801,54.84807889,2989.878448,196.3217417,"H"
"hisar",2,"B159 x R3",9.592827366,54.83271889,2714.725718,191.8293489,"H"
"hisar",2,"B159 x R69",10.02724112,56.19223483,2648.914216,178.7995763,"H"
"hisar",2,"B159 x R70",10.40198273,56.60085027,3966.830521,200.664912,"H"
"hisar",2,"B159 x R75",10.75104295,54.18213369,3864.785628,193.1789605,"H"
"hisar",2,"B159 x R80",10.48818046,55.16875849,2607.122324,206.7967824,"H"
"hisar",2,"B159 x R83",11.80976004,52.84988045,3528.764762,208.9305704,"H"
"hisar",2,"B159 x R9",9.916313915,52.01532978,3143.124527,199.5173619,"H"
"hisar",2,"B169 x R11",10.54222266,54.23441041,2702.923158,202.4788089,"H"
"hisar",2,"B169 x R110",8.123507187,53.11087389,2159.698381,199.5280856,"H"
"hisar",2,"B169 x R115",9.809156405,55.45916337,1990.840058,197.8499037,"H"
"hisar",2,"B169 x R151",10.17712616,53.86522594,2777.717691,187.1914307,"H"
"hisar",2,"B169 x R157",9.558102499,54.9115769,2608.088675,197.0619985,"H"
"hisar",2,"B169 x R171",9.403145718,53.11833934,2520.195505,208.6593791,"H"
"hisar",2,"B169 x R177",10.08293317,51.66564851,3194.080257,194.6901089,"H"
"hisar",2,"B169 x R183",9.728631998,51.41862998,3127.325565,199.5952955,"H"
"hisar",2,"B169 x R187",9.546723212,52.87757648,1658.377088,185.5791739,"H"
"hisar",2,"B169 x R2",10.3905034,50.90208445,2841.659427,209.4566483,"H"
"hisar",2,"B169 x R21",7.934988032,49.56696178,2863.333877,190.0727483,"H"
"hisar",2,"B169 x R3",11.00345683,54.40221454,3052.180013,197.8609925,"H"
"hisar",2,"B169 x R69",8.68494065,57.73830875,1646.712204,181.8023865,"H"
"hisar",2,"B169 x R70",9.607263529,56.10831709,2630.654138,187.6843233,"H"
