"","testing","Individual","popChk","Year","y","yHat"
"116",116,"SL18-LD-10-FG1xSL18-OI-18-MG1","ES",2019,0.16,0.42545732060158
"117",117,"SL18-NL-6-FG1xSA18-CB-3-MG3","ES",2019,0.48,0.495827529026151
"118",118,"SL18-NL-6-FG1xSA18-CB-7-MG2","ES",2019,0.46,0.506511592235248
"119",119,"SL18-NL-6-FG1xSL18-LD-1-MG2","ES",2019,0.18,0.425024719909725
"120",120,"SL18-NL-6-FG1xSL18-LD-2-MG1","ES",2019,0.27,0.31919073203442
"121",121,"SL18-NL-6-FG1xSL18-LD-3-MG2","ES",2019,0.35,0.29233403036507
"122",122,"SL18-NL-6-FG1xSL18-NL-2-MG1","ES",2019,0.24,0.45844326750447
"123",251,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.3,-27.2838702297829
"124",252,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.29,-27.2837045941129
"125",253,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.31,-27.4112873109898
"126",254,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.1,-27.3910764414377
"127",255,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.17,-27.2722921964248
"128",256,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.41,-27.2671119837681
"129",257,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.2,-27.2718115874123
"130",258,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.37,-27.3168008410188
"131",259,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.31,-27.2959487740941
"132",260,"SL18-ME-1-FG1xSL18-ME-1-MG1","Z1",2019,0.22,-27.344267124081
"133",261,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.17,6.41032467413671
"134",262,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.16,6.47022105748131
"135",263,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.22,6.34150545651897
"136",264,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.12,6.43790301348551
"137",265,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.24,6.46028970153198
"138",266,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.3,6.44979935772443
"139",267,"SL18-ME-1-FG1xSL18-ME-2-MG2","Z2",2019,0.13,6.32221664084811
