"Row" "Column" "Ainverse"
"93" 14 2 1271.50871481824
"94" 14 3 35409.6192250781
"95" 14 4 -91678.1960975336
"96" 14 5 42812.7105456616
"97" 14 6 -2797.21315900397
"98" 14 7 9967.6729504971
"99" 14 8 3546.67450401384
"100" 14 9 -6512.75761262305
"101" 14 10 6512.78409075727
"102" 14 11 6476.45530879113
"103" 14 12 -6476.43301697697
"104" 14 13 0.121118579722109
"105" 14 14 551749.598866431
"106" 15 1 -0.0139926108369889
"107" 15 2 -9879.42767781773
"108" 15 3 -54858.681731876
"109" 15 4 43983.4660562448
"110" 15 5 -53778.5841482374
"111" 15 6 -21689.4751898693
"112" 15 7 18862.0076817932
"113" 15 8 10122.1650151037
"114" 15 9 -14756.9046998853
"115" 15 10 14756.9345547803
"116" 15 11 -7644.82842381175
"117" 15 12 7644.84567733247
"118" 15 13 -0.064110753457411
"119" 15 14 -242419.203198008
"120" 15 15 484651.685001302
"121" 16 1 0.0282846576243889
"122" 16 2 8607.98292041701
"123" 16 3 19449.0595586184
"124" 16 4 47694.6934856907
"125" 16 5 10965.4687420218
"126" 16 6 24486.5053384192
"127" 16 7 -28829.6008279299
"128" 16 8 -13668.8351097505
"129" 16 9 21269.7990649707
"130" 16 10 -21269.8587394283
"131" 16 11 1168.56800945134
"132" 16 12 -1168.69487357669
"133" 16 13 -0.0857363712656763
"134" 16 14 -309328.934785641
"135" 16 15 -242231.714259962
"136" 16 16 551561.771499538
"137" 17 1 0.071399435607949
"138" 17 2 -29792.9444133052
"139" 17 3 -15720.7777035431
"140" 17 4 -1370.4983816985
"141" 17 5 -67995.9682448269
"142" 17 6 -51680.1059740246
"143" 17 7 24983.5399233473
"144" 17 8 -8943.32205875421
"145" 17 9 7068.1661135764
"146" 17 10 -7068.16394224808
"147" 17 11 18992.0241588464
"148" 17 12 -18992.0004970519
"149" 17 13 -0.379759324353149
"150" 17 14 48483.0266184278
"151" 17 15 -956.389347116403
"152" 17 16 -47526.8083815772
"153" 17 17 582506.717700439
"154" 18 1 -0.0117586184333372
"155" 18 2 -0.157661898461051
"156" 18 3 -0.216471455666156
"157" 18 4 -0.0969319234005218
"158" 18 5 0.0294641313752136
"159" 18 6 -0.22709718970726
"160" 18 7 0.0386167024414531
"161" 18 8 -0.00413574176897543
"162" 18 9 -0.0202449721146738
"163" 18 10 0.0483779894942315
"164" 18 11 -0.183115230641481
"165" 18 12 0.210892050946303
"166" 18 13 0.0033480956509565
"167" 18 14 -0.0016447945481957
"168" 18 15 -0.125278416593697
"169" 18 16 0.173805609192955
"170" 18 17 -2.49872535862456
"171" 18 18 5.80466545694431
"172" 19 1 -0.198491515154273
"173" 19 2 -3893.9640886523
"174" 19 3 18618.6883600398
"175" 19 4 336.024339674968
"176" 19 5 3.70931073681798
"177" 19 6 -1029.36053876976
"178" 19 7 -41901.5947412024
"179" 19 8 -623.383007520721
"180" 19 9 9730.29388837731
"181" 19 10 -9730.21669138658
"182" 19 11 226118.495165566
"183" 19 12 -226117.969500639
"184" 19 13 -0.182429238525911
"185" 19 14 5841.98678645157
"186" 19 15 3633.34334475632
"187" 19 16 -9475.5516331532
"188" 19 17 679.426457149884
"189" 19 18 0.0979683971950327
"190" 19 19 375942.176885163
"191" 20 1 -0.158526624872689
"192" 20 2 -31077.222994921
"193" 20 3 32549.0588450858
"194" 20 4 -1976.30781025412
"195" 20 5 54648.8764573597
"196" 20 6 27983.4599729564
"197" 20 7 59487.2983201572
"198" 20 8 16136.9767505211
"199" 20 9 -5930.53320115989
"200" 20 10 5930.39647434654
"201" 20 11 14273.2530448865
"202" 20 12 -14273.3473207935
"203" 20 13 0.0640224106382784
"204" 20 14 -51544.786084642
"205" 20 15 3208.0569209908
"206" 20 16 48336.5322778445
"207" 20 17 -423714.456627012
"208" 20 18 -2.25992620168704
"209" 20 19 2598.97380208665
"210" 20 20 574116.703741435
"211" 21 1 0.041030412037778
"212" 21 2 60871.0177943501
"213" 21 3 -16827.4691302392
"214" 21 4 3347.17427845576
"215" 21 5 13346.9190138702
"216" 21 6 23696.3048697207
"217" 21 7 -84470.1775100629
"218" 21 8 -7193.36153004581
"219" 21 9 -1137.28042685691
"220" 21 10 1137.3523242905
"221" 21 11 -33264.7569890867
"222" 21 12 33264.6977907362
"223" 21 13 0.164634393333998
"224" 21 14 3062.13555737167
"225" 21 15 -2251.65342751348
"226" 21 16 -810.361338541631
"227" 21 17 -158784.059392383
"228" 21 18 -0.998161781306896
"229" 21 19 -3279.06001486795
"230" 21 20 -150394.800636111
"231" 21 21 309182.486557428
"232" 22 1 0.0169724825685547
"233" 22 2 -0.763927763540456
"234" 22 3 -0.486381745136647
"235" 22 4 -0.121007679854994
"236" 22 5 0.115343971663711
"237" 22 6 0.258820346052929
"238" 22 7 -0.472697327435236
"239" 22 8 -0.130379578552129
"240" 22 9 -0.383253360253455
"241" 22 10 0.407964189498607
"242" 22 11 -0.162149430352821
"243" 22 12 0.216633924184634
"244" 22 13 0.107328636562918
"245" 22 14 -0.330496241521394
"246" 22 15 0.0785495162993627
"247" 22 16 0.40079065895716
"248" 22 17 -4.18502557070642
"249" 22 18 -0.0339740586558853
"250" 22 19 0.29876015454278
"251" 22 20 -3.9731309801082
"252" 22 21 -1.95532857255271
"253" 22 22 10.2100731322153
"254" 23 1 -0.0131449171655628
"255" 23 2 249394.016522586
"256" 23 3 -56807.1789588533
