"Individual" "Female" "Male"
"SL18-LD-3-FG2xSA18-CB-2-MG3" "SL18-LD-3-FG2xSA18-CB-2-MG3" "0" "0"
"SL18-LD-3-FG2xSL18-LL-9-MG2" "SL18-LD-3-FG2xSL18-LL-9-MG2" "0" "0"
"SL18-LD-3-FG2xSL18-SF-17-MG3" "SL18-LD-3-FG2xSL18-SF-17-MG3" "0" "0"
"SL18-LD-4-FG1xSA18-CB-2-MG1" "SL18-LD-4-FG1xSA18-CB-2-MG1" "0" "0"
"SL18-LD-4-FG1xSL18-NL-3-MG2" "SL18-LD-4-FG1xSL18-NL-3-MG2" "0" "0"
"SL18-LD-4-FG2xSL18-LL-9-MG1" "SL18-LD-4-FG2xSL18-LL-9-MG1" "0" "0"
"SL18-LD-4-FG2xSL18-SF-15-MG2" "SL18-LD-4-FG2xSL18-SF-15-MG2" "0" "0"
"SL18-LD-4-FG3xSL18-SF-17-MG1" "SL18-LD-4-FG3xSL18-SF-17-MG1" "0" "0"
"SL18-LD-5-FG1xSA18-CB-10-MG1" "SL18-LD-5-FG1xSA18-CB-10-MG1" "0" "0"
"SA18-CB-7-FG1xSL18-LL-9-MG3" "SA18-CB-7-FG1xSL18-LL-9-MG3" "0" "0"
"SL18-LD-9-FG2xSL18-SF-13-MG3" "SL18-LD-9-FG2xSL18-SF-13-MG3" "0" "0"
"SL18-LD-9-FG3xSL18-NL-7-MG1" "SL18-LD-9-FG3xSL18-NL-7-MG1" "0" "0"
"SL18-LD-9-FG3xSL18-SF-17-MG1" "SL18-LD-9-FG3xSL18-SF-17-MG1" "0" "0"
"SL18-LL-9-FG3xSL18-NL-9-MG1" "SL18-LL-9-FG3xSL18-NL-9-MG1" "0" "0"
"SL18-NL-10-FG1xSA18-CB-4-MG3" "SL18-NL-10-FG1xSA18-CB-4-MG3" "0" "0"
"SL18-NL-10-FG1xSL18-LD-2-MG1" "SL18-NL-10-FG1xSL18-LD-2-MG1" "0" "0"
"SL18-LD-10-FG1xSA18-CB-1-MG2" "SL18-LD-10-FG1xSA18-CB-1-MG2" "0" "0"
"SL18-NL-10-FG1xSL18-OI-15-MG1" "SL18-NL-10-FG1xSL18-OI-15-MG1" "0" "0"
"SL18-NL-10-FG1xSL18-OI-7-MG1" "SL18-NL-10-FG1xSL18-OI-7-MG1" "0" "0"
