"","testing","Individual","popChk","Year","y","yHat"
"104",104,"SL18-NL-2-FG1xSA18-CB-1-MG2","ES",2019,0.38,0.308969034042698
"105",105,"SL18-NL-2-FG1xSL18-LD-13-MG2","ES",2019,0.31,0.290240623510675
"106",106,"SL18-NL-2-FG1xSL18-SF-17-MG1","ES",2019,0.42,0.373077093766588
"107",107,"SL18-NL-2-FG3xSA18-CB-2-MG3","ES",2019,0.17,0.204644960539167
"108",108,"SL18-NL-2-FG3xSA18-CB-4-MG1","ES",2019,0.1,0.0589549359174273
"109",109,"SL18-NL-2-FG3xSL18-LD-3-MG2","ES",2019,0.12,0.11166734751282
"110",110,"SL18-NL-2-FG3xSL18-OI-16-MG1","ES",2019,0.3,0.229915172245611
"111",111,"SL18-NL-3-FG1xSA18-CB-7-MG2","ES",2019,0.43,0.220297104310633
"112",112,"SL18-NL-3-FG1xSL18-OI-11-MG2","ES",2019,0.26,0.223460525325344
"113",113,"SL18-NL-3-FG1xSL18-SF-13-MG2","ES",2019,0.2,0.168613024271676
"114",114,"SL18-NL-3-FG2xSL18-SF-17-MG2","ES",2019,0.46,0.372807656155151
"115",115,"SL18-NL-3-FG3xSA18-CB-2-MG2","ES",2019,0.17,0.21931085825856
"116",116,"SL18-LD-10-FG1xSL18-OI-18-MG1","ES",2019,0.16,0.209598548139987
"117",117,"SL18-NL-6-FG1xSA18-CB-3-MG3","ES",2019,0.48,0.434509506252474
"118",118,"SL18-NL-6-FG1xSA18-CB-7-MG2","ES",2019,0.46,0.424680697937566
"119",119,"SL18-NL-6-FG1xSL18-LD-1-MG2","ES",2019,0.18,0.257274445200462
"120",120,"SL18-NL-6-FG1xSL18-LD-2-MG1","ES",2019,0.27,0.245321870126015
"121",121,"SL18-NL-6-FG1xSL18-LD-3-MG2","ES",2019,0.35,0.300782352552035
"122",122,"SL18-NL-6-FG1xSL18-NL-2-MG1","ES",2019,0.24,0.259995415917035
"123",123,"SL18-OI-11-FG3xSL18-CC-1-MG3","ES",2020,1.031543485,0.831904366625551
"124",124,"SL18-JS-16-FG3xSL18-NC-10-MG3","ES",2020,0.145898646,0.178099010424152
"125",125,"SL18-OI-5-FG5xSA18-CB-7-MG3","ES",2020,0.09321362,0.279176438965899
"126",126,"SL18-CC-1-FG2xSL18-OI-16-MG1","ES",2020,0.478797213,0.472865384589766
"127",127,"SL18-NC-11-FG1xSL18-NL-2-MG1","ES",2020,0.276564855,0.385823381113822
"128",128,"SL18-CC-5-FG2xSA18-CB-10-MG1","ES",2020,1.989688812,1.43356801210793
